Semester,Exam,Question,BloomsLevel
Fall2012,1,1,1
Fall2012,1,2,1
Fall2012,1,3,1
Fall2012,1,4,1
Fall2012,1,5,1
Fall2012,1,6,1
Fall2012,1,7,2
Fall2012,1,8,1
Fall2012,1,9,2
Fall2012,1,10,2
Fall2012,1,11,3
Fall2012,1,12,1
Fall2012,1,13,1
Fall2012,1,14,2
Fall2012,1,15,1
Fall2012,1,16,1
Fall2012,1,17,1
Fall2012,1,18,1
Fall2012,1,19,1
Fall2012,1,20,3
Fall2012,1,21,1
Fall2012,1,22,1
Fall2012,1,23,4
Fall2012,1,24,1
Fall2012,1,25,2
Fall2012,1,26,1
Fall2012,1,27,1
Fall2012,1,28,1
Fall2012,1,29,1
Fall2012,1,30,1
Fall2012,1,51,1
Fall2012,1,52,1
Fall2012,1,53,1
Fall2012,1,54,3
Fall2012,1,55,3
Fall2012,2,1,1
Fall2012,2,2,4
Fall2012,2,3,3
Fall2012,2,4,1
Fall2012,2,5,1
Fall2012,2,6,1
Fall2012,2,7,2
Fall2012,2,8,1
Fall2012,2,9,2
Fall2012,2,10,1
Fall2012,2,11,1
Fall2012,2,12,3
Fall2012,2,13,1
Fall2012,2,14,1
Fall2012,2,15,1
Fall2012,2,16,3
Fall2012,2,17,3
Fall2012,2,18,2
Fall2012,2,19,2
Fall2012,2,20,1
Fall2012,2,21,2
Fall2012,2,22,1
Fall2012,2,23,1
Fall2012,2,24,2
Fall2012,2,25,1
Fall2012,2,26,1
Fall2012,2,27,2
Fall2012,2,28,1
Fall2012,2,29,4
Fall2012,2,30,2
Fall2012,2,51,4
Fall2012,2,52,4
Fall2012,2,53,3
Fall2012,2,54,1
Fall2012,2,55,1
Fall2012,3,1,1
Fall2012,3,2,2
Fall2012,3,3,1
Fall2012,3,4,1
Fall2012,3,5,1
Fall2012,3,6,3
Fall2012,3,7,2
Fall2012,3,8,1
Fall2012,3,9,1
Fall2012,3,10,1
Fall2012,3,11,1
Fall2012,3,12,1
Fall2012,3,13,2
Fall2012,3,14,1
Fall2012,3,15,3
Fall2012,3,16,1
Fall2012,3,17,2
Fall2012,3,18,2
Fall2012,3,19,1
Fall2012,3,20,2
Fall2012,3,21,1
Fall2012,3,22,2
Fall2012,3,23,1
Fall2012,3,24,1
Fall2012,3,25,1
Fall2012,3,26,2
Fall2012,3,27,3
Fall2012,3,28,1
Fall2012,3,29,1
Fall2012,3,30,1
Fall2012,3,51,3
Fall2012,3,52,4
Fall2012,3,53,3
Fall2012,3,54,1
Fall2012,3,55,2
Fall2012,4,1,1
Fall2012,4,2,1
Fall2012,4,3,1
Fall2012,4,4,2
Fall2012,4,5,1
Fall2012,4,6,1
Fall2012,4,7,1
Fall2012,4,8,1
Fall2012,4,9,1
Fall2012,4,10,1
Fall2012,4,11,1
Fall2012,4,12,1
Fall2012,4,13,1
Fall2012,4,14,2
Fall2012,4,15,1
Fall2012,4,16,1
Fall2012,4,17,1
Fall2012,4,18,1
Fall2012,4,19,1
Fall2012,4,20,1
Fall2012,4,21,1
Fall2012,4,22,1
Fall2012,4,23,1
Fall2012,4,24,1
Fall2012,4,25,1
Fall2012,4,26,1
Fall2012,4,27,1
Fall2012,4,28,2
Fall2012,4,29,1
Fall2012,4,30,1
Fall2012,4,51,3
Fall2012,4,52,4
Fall2012,4,53,4
Fall2012,4,54,3
Fall2012,4,55,1
Fall2014,1,1,1
Fall2014,1,2,1
Fall2014,1,3,1
Fall2014,1,4,1
